#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated from Parthenelope fitting function Dec 2014. Errors are guesstimates. 
#neutron lifetime of 880.3 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err D/H
 
     0.02025      5.54236     -2.00000      0.21320      0.21440      0.00030    2.235e-05     6.00e-07
     0.02050      5.61079     -2.00000      0.21332      0.21452      0.00030    2.190e-05     6.00e-07
     0.02075      5.67922     -2.00000      0.21344      0.21464      0.00030    2.146e-05     6.00e-07
     0.02100      5.74765     -2.00000      0.21356      0.21476      0.00030    2.103e-05     6.00e-07
     0.02125      5.81608     -2.00000      0.21367      0.21488      0.00030    2.062e-05     6.00e-07
     0.02150      5.88450     -2.00000      0.21379      0.21499      0.00030    2.022e-05     6.00e-07
     0.02175      5.95293     -2.00000      0.21390      0.21511      0.00030    1.983e-05     6.00e-07
     0.02200      6.02136     -2.00000      0.21402      0.21522      0.00030    1.945e-05     6.00e-07
     0.02225      6.08979     -2.00000      0.21413      0.21533      0.00030    1.908e-05     6.00e-07
     0.02250      6.15822     -2.00000      0.21424      0.21545      0.00030    1.873e-05     6.00e-07
     0.02275      6.22665     -2.00000      0.21435      0.21555      0.00030    1.838e-05     6.00e-07
     0.02300      6.29508     -2.00000      0.21446      0.21566      0.00030    1.805e-05     6.00e-07
     0.02325      6.36351     -2.00000      0.21456      0.21577      0.00030    1.773e-05     6.00e-07
     0.02350      6.43194     -2.00000      0.21467      0.21587      0.00030    1.741e-05     6.00e-07
     0.02375      6.50037     -2.00000      0.21477      0.21598      0.00030    1.710e-05     6.00e-07
     0.02400      6.56880     -2.00000      0.21487      0.21608      0.00030    1.681e-05     6.00e-07
     0.02500      6.84252     -2.00000      0.21527      0.21648      0.00030    1.570e-05     6.00e-07
     0.02600      7.11624     -2.00000      0.21564      0.21685      0.00030    1.470e-05     6.00e-07
     0.02700      7.38996     -2.00000      0.21599      0.21721      0.00030    1.378e-05     6.00e-07
     0.02800      7.66368     -2.00000      0.21632      0.21754      0.00030    1.292e-05     6.00e-07
     0.02900      7.93740     -2.00000      0.21663      0.21785      0.00030    1.211e-05     6.00e-07
     0.03000      8.21112     -2.00000      0.21692      0.21813      0.00030    1.130e-05     6.00e-07
     0.03100      8.48484     -2.00000      0.21718      0.21840      0.00030    1.049e-05     6.00e-07
     0.03200      8.75856     -2.00000      0.21743      0.21865      0.00030    9.641e-06     6.00e-07
     0.03300      9.03228     -2.00000      0.21765      0.21887      0.00030    8.736e-06     6.00e-07
     0.03400      9.30600     -2.00000      0.21785      0.21907      0.00030    7.748e-06     6.00e-07
     0.03500      9.57972     -2.00000      0.21803      0.21925      0.00030    6.654e-06     6.00e-07
     0.03600      9.85343     -2.00000      0.21819      0.21941      0.00030    5.431e-06     6.00e-07
     0.03700     10.12715     -2.00000      0.21832      0.21954      0.00030    4.055e-06     6.00e-07
     0.03800     10.40087     -2.00000      0.21844      0.21966      0.00030    2.501e-06     6.00e-07
     0.03900     10.67458     -2.00000      0.21853      0.21975      0.00030    7.463e-07     6.00e-07
     0.04000     10.94829     -2.00000      0.21860      0.21982      0.00030   -1.234e-06     6.00e-07

     0.00500      1.36855     -1.00000      0.21976      0.22098      0.00030    1.063e-04     6.00e-07
     0.00600      1.64227     -1.00000      0.22057      0.22180      0.00030    9.717e-05     6.00e-07
     0.00700      1.91599     -1.00000      0.22136      0.22260      0.00030    8.874e-05     6.00e-07
     0.00800      2.18971     -1.00000      0.22214      0.22337      0.00030    8.095e-05     6.00e-07
     0.00900      2.46344     -1.00000      0.22288      0.22413      0.00030    7.377e-05     6.00e-07
     0.01000      2.73717     -1.00000      0.22361      0.22486      0.00030    6.717e-05     6.00e-07
     0.01100      3.01090     -1.00000      0.22432      0.22556      0.00030    6.113e-05     6.00e-07
     0.01200      3.28464     -1.00000      0.22500      0.22625      0.00030    5.561e-05     6.00e-07
     0.01300      3.55838     -1.00000      0.22566      0.22691      0.00030    5.059e-05     6.00e-07
     0.01400      3.83211     -1.00000      0.22630      0.22755      0.00030    4.604e-05     6.00e-07
     0.01500      4.10585     -1.00000      0.22692      0.22817      0.00030    4.193e-05     6.00e-07
     0.01600      4.37960     -1.00000      0.22751      0.22877      0.00030    3.822e-05     6.00e-07
     0.01700      4.65334     -1.00000      0.22808      0.22935      0.00030    3.491e-05     6.00e-07
     0.01800      4.92709     -1.00000      0.22863      0.22990      0.00030    3.194e-05     6.00e-07
     0.01900      5.20083     -1.00000      0.22916      0.23043      0.00030    2.930e-05     6.00e-07
     0.02000      5.47458     -1.00000      0.22967      0.23094      0.00030    2.696e-05     6.00e-07
     0.02025      5.54302     -1.00000      0.22979      0.23106      0.00030    2.642e-05     6.00e-07
     0.02050      5.61145     -1.00000      0.22991      0.23118      0.00030    2.589e-05     6.00e-07
     0.02075      5.67989     -1.00000      0.23003      0.23130      0.00030    2.538e-05     6.00e-07
     0.02100      5.74833     -1.00000      0.23015      0.23142      0.00030    2.489e-05     6.00e-07
     0.02125      5.81677     -1.00000      0.23027      0.23154      0.00030    2.441e-05     6.00e-07
     0.02150      5.88520     -1.00000      0.23039      0.23166      0.00030    2.394e-05     6.00e-07
     0.02175      5.95364     -1.00000      0.23050      0.23177      0.00030    2.349e-05     6.00e-07
     0.02200      6.02208     -1.00000      0.23062      0.23189      0.00030    2.305e-05     6.00e-07
     0.02225      6.09052     -1.00000      0.23073      0.23200      0.00030    2.263e-05     6.00e-07
     0.02250      6.15895     -1.00000      0.23084      0.23211      0.00030    2.222e-05     6.00e-07
     0.02275      6.22739     -1.00000      0.23095      0.23222      0.00030    2.182e-05     6.00e-07
     0.02300      6.29583     -1.00000      0.23106      0.23233      0.00030    2.143e-05     6.00e-07
     0.02325      6.36427     -1.00000      0.23116      0.23244      0.00030    2.106e-05     6.00e-07
     0.02350      6.43271     -1.00000      0.23127      0.23254      0.00030    2.069e-05     6.00e-07
     0.02375      6.50114     -1.00000      0.23137      0.23265      0.00030    2.034e-05     6.00e-07
     0.02400      6.56958     -1.00000      0.23147      0.23275      0.00030    1.999e-05     6.00e-07
     0.02500      6.84333     -1.00000      0.23187      0.23315      0.00030    1.871e-05     6.00e-07
     0.02600      7.11709     -1.00000      0.23225      0.23352      0.00030    1.755e-05     6.00e-07
     0.02700      7.39084     -1.00000      0.23260      0.23388      0.00030    1.650e-05     6.00e-07
     0.02800      7.66459     -1.00000      0.23293      0.23421      0.00030    1.551e-05     6.00e-07
     0.02900      7.93834     -1.00000      0.23324      0.23452      0.00030    1.456e-05     6.00e-07
     0.03000      8.21210     -1.00000      0.23352      0.23480      0.00030    1.362e-05     6.00e-07
     0.03100      8.48585     -1.00000      0.23379      0.23507      0.00030    1.267e-05     6.00e-07
     0.03200      8.75960     -1.00000      0.23403      0.23531      0.00030    1.167e-05     6.00e-07
     0.03300      9.03335     -1.00000      0.23425      0.23553      0.00030    1.060e-05     6.00e-07
     0.03400      9.30710     -1.00000      0.23444      0.23573      0.00030    9.425e-06     6.00e-07
     0.03500      9.58086     -1.00000      0.23462      0.23591      0.00030    8.122e-06     6.00e-07
     0.03600      9.85460     -1.00000      0.23477      0.23606      0.00030    6.661e-06     6.00e-07
     0.03700     10.12835     -1.00000      0.23491      0.23619      0.00030    5.012e-06     6.00e-07
     0.03800     10.40210     -1.00000      0.23501      0.23630      0.00030    3.147e-06     6.00e-07
     0.03900     10.67585     -1.00000      0.23510      0.23639      0.00030    1.038e-06     6.00e-07
     0.04000     10.94959     -1.00000      0.23517      0.23646      0.00030   -1.343e-06     6.00e-07

     0.00500      1.36862     -0.50000      0.22727      0.22852      0.00030    1.143e-04     6.00e-07
     0.00600      1.64236     -0.50000      0.22808      0.22935      0.00030    1.045e-04     6.00e-07
     0.00700      1.91609     -0.50000      0.22888      0.23015      0.00030    9.539e-05     6.00e-07
     0.00800      2.18983     -0.50000      0.22966      0.23092      0.00030    8.701e-05     6.00e-07
     0.00900      2.46357     -0.50000      0.23041      0.23168      0.00030    7.929e-05     6.00e-07
     0.01000      2.73732     -0.50000      0.23114      0.23241      0.00030    7.219e-05     6.00e-07
     0.01100      3.01107     -0.50000      0.23185      0.23312      0.00030    6.570e-05     6.00e-07
     0.01200      3.28482     -0.50000      0.23253      0.23381      0.00030    5.977e-05     6.00e-07
     0.01300      3.55857     -0.50000      0.23320      0.23448      0.00030    5.437e-05     6.00e-07
     0.01400      3.83232     -0.50000      0.23384      0.23512      0.00030    4.948e-05     6.00e-07
     0.01500      4.10608     -0.50000      0.23446      0.23574      0.00030    4.506e-05     6.00e-07
     0.01600      4.37983     -0.50000      0.23506      0.23634      0.00030    4.109e-05     6.00e-07
     0.01700      4.65359     -0.50000      0.23563      0.23692      0.00030    3.753e-05     6.00e-07
     0.01800      4.92735     -0.50000      0.23618      0.23747      0.00030    3.435e-05     6.00e-07
     0.01900      5.20111     -0.50000      0.23671      0.23801      0.00030    3.153e-05     6.00e-07
     0.02000      5.47488     -0.50000      0.23722      0.23852      0.00030    2.902e-05     6.00e-07
     0.02025      5.54332     -0.50000      0.23734      0.23864      0.00030    2.844e-05     6.00e-07
     0.02050      5.61176     -0.50000      0.23747      0.23876      0.00030    2.788e-05     6.00e-07
     0.02075      5.68020     -0.50000      0.23759      0.23888      0.00030    2.733e-05     6.00e-07
     0.02100      5.74864     -0.50000      0.23771      0.23900      0.00030    2.680e-05     6.00e-07
     0.02125      5.81708     -0.50000      0.23782      0.23912      0.00030    2.629e-05     6.00e-07
     0.02150      5.88552     -0.50000      0.23794      0.23924      0.00030    2.579e-05     6.00e-07
     0.02175      5.95396     -0.50000      0.23806      0.23935      0.00030    2.531e-05     6.00e-07
     0.02200      6.02241     -0.50000      0.23817      0.23947      0.00030    2.484e-05     6.00e-07
     0.02225      6.09085     -0.50000      0.23828      0.23958      0.00030    2.439e-05     6.00e-07
     0.02250      6.15929     -0.50000      0.23839      0.23969      0.00030    2.395e-05     6.00e-07
     0.02275      6.22773     -0.50000      0.23850      0.23980      0.00030    2.352e-05     6.00e-07
     0.02300      6.29617     -0.50000      0.23861      0.23991      0.00030    2.311e-05     6.00e-07
     0.02325      6.36461     -0.50000      0.23872      0.24002      0.00030    2.271e-05     6.00e-07
     0.02350      6.43305     -0.50000      0.23882      0.24012      0.00030    2.232e-05     6.00e-07
     0.02375      6.50150     -0.50000      0.23893      0.24023      0.00030    2.194e-05     6.00e-07
     0.02400      6.56994     -0.50000      0.23903      0.24033      0.00030    2.157e-05     6.00e-07
     0.02500      6.84370     -0.50000      0.23943      0.24073      0.00030    2.020e-05     6.00e-07
     0.02600      7.11747     -0.50000      0.23980      0.24111      0.00030    1.897e-05     6.00e-07
     0.02700      7.39124     -0.50000      0.24015      0.24146      0.00030    1.784e-05     6.00e-07
     0.02800      7.66501     -0.50000      0.24048      0.24179      0.00030    1.678e-05     6.00e-07
     0.02900      7.93877     -0.50000      0.24079      0.24210      0.00030    1.577e-05     6.00e-07
     0.03000      8.21254     -0.50000      0.24107      0.24238      0.00030    1.477e-05     6.00e-07
     0.03100      8.48631     -0.50000      0.24134      0.24265      0.00030    1.374e-05     6.00e-07
     0.03200      8.76008     -0.50000      0.24158      0.24289      0.00030    1.267e-05     6.00e-07
     0.03300      9.03384     -0.50000      0.24180      0.24311      0.00030    1.152e-05     6.00e-07
     0.03400      9.30761     -0.50000      0.24199      0.24331      0.00030    1.026e-05     6.00e-07
     0.03500      9.58137     -0.50000      0.24217      0.24348      0.00030    8.852e-06     6.00e-07
     0.03600      9.85514     -0.50000      0.24232      0.24363      0.00030    7.273e-06     6.00e-07
     0.03700     10.12890     -0.50000      0.24245      0.24376      0.00030    5.490e-06     6.00e-07
     0.03800     10.40266     -0.50000      0.24255      0.24387      0.00030    3.473e-06     6.00e-07
     0.03900     10.67642     -0.50000      0.24264      0.24395      0.00030    1.189e-06     6.00e-07
     0.04000     10.95018     -0.50000      0.24270      0.24402      0.00030   -1.390e-06     6.00e-07

     0.00500      1.36869      0.00000      0.23428      0.23557      0.00030    1.223e-04     6.00e-07
     0.00600      1.64244      0.00000      0.23511      0.23640      0.00030    1.118e-04     6.00e-07
     0.00700      1.91619      0.00000      0.23591      0.23720      0.00030    1.021e-04     6.00e-07
     0.00800      2.18994      0.00000      0.23669      0.23798      0.00030    9.310e-05     6.00e-07
     0.00900      2.46370      0.00000      0.23744      0.23874      0.00030    8.483e-05     6.00e-07
     0.01000      2.73746      0.00000      0.23818      0.23948      0.00030    7.723e-05     6.00e-07
     0.01100      3.01122      0.00000      0.23889      0.24019      0.00030    7.027e-05     6.00e-07
     0.01200      3.28498      0.00000      0.23957      0.24088      0.00030    6.393e-05     6.00e-07
     0.01300      3.55875      0.00000      0.24024      0.24155      0.00030    5.815e-05     6.00e-07
     0.01400      3.83251      0.00000      0.24088      0.24219      0.00030    5.292e-05     6.00e-07
     0.01500      4.10628      0.00000      0.24150      0.24282      0.00030    4.820e-05     6.00e-07
     0.01600      4.38005      0.00000      0.24210      0.24342      0.00030    4.396e-05     6.00e-07
     0.01700      4.65383      0.00000      0.24268      0.24400      0.00030    4.016e-05     6.00e-07
     0.01800      4.92760      0.00000      0.24323      0.24455      0.00030    3.676e-05     6.00e-07
     0.01900      5.20138      0.00000      0.24376      0.24509      0.00030    3.374e-05     6.00e-07
     0.02000      5.47515      0.00000      0.24427      0.24560      0.00030    3.107e-05     6.00e-07
     0.02025      5.54360      0.00000      0.24440      0.24572      0.00030    3.045e-05     6.00e-07
     0.02050      5.61204      0.00000      0.24452      0.24584      0.00030    2.985e-05     6.00e-07
     0.02075      5.68049      0.00000      0.24464      0.24596      0.00030    2.927e-05     6.00e-07
     0.02100      5.74893      0.00000      0.24476      0.24608      0.00030    2.871e-05     6.00e-07
     0.02125      5.81738      0.00000      0.24488      0.24620      0.00030    2.816e-05     6.00e-07
     0.02150      5.88582      0.00000      0.24499      0.24632      0.00030    2.763e-05     6.00e-07
     0.02175      5.95426      0.00000      0.24511      0.24644      0.00030    2.712e-05     6.00e-07
     0.02200      6.02271      0.00000      0.24522      0.24655      0.00030    2.662e-05     6.00e-07
     0.02225      6.09115      0.00000      0.24534      0.24666      0.00030    2.614e-05     6.00e-07
     0.02250      6.15960      0.00000      0.24545      0.24677      0.00030    2.567e-05     6.00e-07
     0.02275      6.22804      0.00000      0.24556      0.24688      0.00030    2.521e-05     6.00e-07
     0.02300      6.29649      0.00000      0.24567      0.24699      0.00030    2.477e-05     6.00e-07
     0.02325      6.36493      0.00000      0.24577      0.24710      0.00030    2.435e-05     6.00e-07
     0.02350      6.43338      0.00000      0.24588      0.24721      0.00030    2.393e-05     6.00e-07
     0.02375      6.50182      0.00000      0.24598      0.24731      0.00030    2.353e-05     6.00e-07
     0.02400      6.57027      0.00000      0.24608      0.24741      0.00030    2.314e-05     6.00e-07
     0.02500      6.84405      0.00000      0.24648      0.24781      0.00030    2.169e-05     6.00e-07
     0.02600      7.11783      0.00000      0.24685      0.24819      0.00030    2.037e-05     6.00e-07
     0.02700      7.39161      0.00000      0.24721      0.24854      0.00030    1.917e-05     6.00e-07
     0.02800      7.66539      0.00000      0.24754      0.24887      0.00030    1.805e-05     6.00e-07
     0.02900      7.93918      0.00000      0.24784      0.24918      0.00030    1.697e-05     6.00e-07
     0.03000      8.21296      0.00000      0.24813      0.24946      0.00030    1.590e-05     6.00e-07
     0.03100      8.48674      0.00000      0.24839      0.24973      0.00030    1.481e-05     6.00e-07
     0.03200      8.76052      0.00000      0.24863      0.24997      0.00030    1.367e-05     6.00e-07
     0.03300      9.03430      0.00000      0.24884      0.25018      0.00030    1.244e-05     6.00e-07
     0.03400      9.30808      0.00000      0.24904      0.25038      0.00030    1.109e-05     6.00e-07
     0.03500      9.58186      0.00000      0.24921      0.25055      0.00030    9.579e-06     6.00e-07
     0.03600      9.85563      0.00000      0.24936      0.25070      0.00030    7.884e-06     6.00e-07
     0.03700     10.12941      0.00000      0.24949      0.25083      0.00030    5.969e-06     6.00e-07
     0.03800     10.40319      0.00000      0.24959      0.25093      0.00030    3.800e-06     6.00e-07
     0.03900     10.67696      0.00000      0.24967      0.25102      0.00030    1.343e-06     6.00e-07
     0.04000     10.95073      0.00000      0.24973      0.25108      0.00030   -1.433e-06     6.00e-07

     0.00500      1.36875      0.50000      0.24081      0.24212      0.00030    1.304e-04     6.00e-07
     0.00600      1.64251      0.50000      0.24164      0.24295      0.00030    1.192e-04     6.00e-07
     0.00700      1.91628      0.50000      0.24244      0.24376      0.00030    1.088e-04     6.00e-07
     0.00800      2.19004      0.50000      0.24322      0.24454      0.00030    9.921e-05     6.00e-07
     0.00900      2.46381      0.50000      0.24398      0.24530      0.00030    9.038e-05     6.00e-07
     0.01000      2.73759      0.50000      0.24472      0.24604      0.00030    8.228e-05     6.00e-07
     0.01100      3.01136      0.50000      0.24543      0.24676      0.00030    7.486e-05     6.00e-07
     0.01200      3.28514      0.50000      0.24612      0.24745      0.00030    6.809e-05     6.00e-07
     0.01300      3.55891      0.50000      0.24679      0.24812      0.00030    6.194e-05     6.00e-07
     0.01400      3.83269      0.50000      0.24743      0.24877      0.00030    5.637e-05     6.00e-07
     0.01500      4.10648      0.50000      0.24806      0.24939      0.00030    5.134e-05     6.00e-07
     0.01600      4.38026      0.50000      0.24866      0.24999      0.00030    4.682e-05     6.00e-07
     0.01700      4.65405      0.50000      0.24923      0.25057      0.00030    4.277e-05     6.00e-07
     0.01800      4.92783      0.50000      0.24979      0.25113      0.00030    3.916e-05     6.00e-07
     0.01900      5.20162      0.50000      0.25032      0.25166      0.00030    3.596e-05     6.00e-07
     0.02000      5.47541      0.50000      0.25083      0.25218      0.00030    3.311e-05     6.00e-07
     0.02025      5.54386      0.50000      0.25095      0.25230      0.00030    3.246e-05     6.00e-07
     0.02050      5.61231      0.50000      0.25108      0.25242      0.00030    3.182e-05     6.00e-07
     0.02075      5.68075      0.50000      0.25120      0.25254      0.00030    3.120e-05     6.00e-07
     0.02100      5.74920      0.50000      0.25132      0.25266      0.00030    3.060e-05     6.00e-07
     0.02125      5.81765      0.50000      0.25143      0.25278      0.00030    3.002e-05     6.00e-07
     0.02150      5.88610      0.50000      0.25155      0.25290      0.00030    2.946e-05     6.00e-07
     0.02175      5.95454      0.50000      0.25167      0.25302      0.00030    2.892e-05     6.00e-07
     0.02200      6.02299      0.50000      0.25178      0.25313      0.00030    2.839e-05     6.00e-07
     0.02225      6.09144      0.50000      0.25189      0.25324      0.00030    2.788e-05     6.00e-07
     0.02250      6.15989      0.50000      0.25200      0.25335      0.00030    2.738e-05     6.00e-07
     0.02275      6.22834      0.50000      0.25211      0.25346      0.00030    2.690e-05     6.00e-07
     0.02300      6.29678      0.50000      0.25222      0.25357      0.00030    2.643e-05     6.00e-07
     0.02325      6.36523      0.50000      0.25233      0.25368      0.00030    2.598e-05     6.00e-07
     0.02350      6.43368      0.50000      0.25243      0.25379      0.00030    2.554e-05     6.00e-07
     0.02375      6.50213      0.50000      0.25254      0.25389      0.00030    2.511e-05     6.00e-07
     0.02400      6.57058      0.50000      0.25264      0.25399      0.00030    2.470e-05     6.00e-07
     0.02500      6.84437      0.50000      0.25304      0.25439      0.00030    2.316e-05     6.00e-07
     0.02600      7.11816      0.50000      0.25341      0.25477      0.00030    2.177e-05     6.00e-07
     0.02700      7.39196      0.50000      0.25376      0.25512      0.00030    2.050e-05     6.00e-07
     0.02800      7.66575      0.50000      0.25409      0.25545      0.00030    1.931e-05     6.00e-07
     0.02900      7.93955      0.50000      0.25440      0.25575      0.00030    1.816e-05     6.00e-07
     0.03000      8.21334      0.50000      0.25468      0.25604      0.00030    1.703e-05     6.00e-07
     0.03100      8.48714      0.50000      0.25494      0.25630      0.00030    1.588e-05     6.00e-07
     0.03200      8.76093      0.50000      0.25518      0.25654      0.00030    1.466e-05     6.00e-07
     0.03300      9.03472      0.50000      0.25539      0.25676      0.00030    1.335e-05     6.00e-07
     0.03400      9.30851      0.50000      0.25559      0.25695      0.00030    1.191e-05     6.00e-07
     0.03500      9.58231      0.50000      0.25576      0.25712      0.00030    1.030e-05     6.00e-07
     0.03600      9.85610      0.50000      0.25590      0.25727      0.00030    8.494e-06     6.00e-07
     0.03700     10.12989      0.50000      0.25603      0.25739      0.00030    6.447e-06     6.00e-07
     0.03800     10.40367      0.50000      0.25613      0.25749      0.00030    4.128e-06     6.00e-07
     0.03900     10.67746      0.50000      0.25621      0.25757      0.00030    1.501e-06     6.00e-07
     0.04000     10.95125      0.50000      0.25627      0.25763      0.00030   -1.470e-06     6.00e-07

     0.00500      1.36881      1.00000      0.24685      0.24818      0.00030    1.385e-04     6.00e-07
     0.00600      1.64259      1.00000      0.24768      0.24901      0.00030    1.266e-04     6.00e-07
     0.00700      1.91636      1.00000      0.24848      0.24982      0.00030    1.155e-04     6.00e-07
     0.00800      2.19014      1.00000      0.24927      0.25061      0.00030    1.053e-04     6.00e-07
     0.00900      2.46392      1.00000      0.25003      0.25137      0.00030    9.595e-05     6.00e-07
     0.01000      2.73770      1.00000      0.25077      0.25211      0.00030    8.734e-05     6.00e-07
     0.01100      3.01149      1.00000      0.25148      0.25283      0.00030    7.946e-05     6.00e-07
     0.01200      3.28528      1.00000      0.25217      0.25352      0.00030    7.227e-05     6.00e-07
