# Z_LOW Z_MID Z_HIGH BIN1 BIN2 BIN3 BIN4
2.101000e-01 2.151000e-01 2.201000e-01 1.960324e+00 7.602558e-01 2.064295e-01 1.963941e-01
2.201000e-01 2.251000e-01 2.301000e-01 2.079340e+00 8.269962e-01 2.150631e-01 1.962161e-01
2.301000e-01 2.351000e-01 2.401000e-01 2.163471e+00 8.941321e-01 2.242681e-01 1.931645e-01
2.401000e-01 2.451000e-01 2.501000e-01 2.209539e+00 9.639557e-01 2.277865e-01 1.930373e-01
2.501000e-01 2.551000e-01 2.601000e-01 2.257349e+00 1.032306e+00 2.360566e-01 1.881802e-01
2.601000e-01 2.651000e-01 2.701000e-01 2.322358e+00 1.089633e+00 2.415744e-01 1.856627e-01
2.701000e-01 2.751000e-01 2.801000e-01 2.446875e+00 1.140275e+00 2.432622e-01 1.847727e-01
2.801000e-01 2.851000e-01 2.901000e-01 2.577687e+00 1.163413e+00 2.465988e-01 1.918930e-01
2.901000e-01 2.951000e-01 3.001000e-01 2.587171e+00 1.157424e+00 2.450409e-01 1.942325e-01
3.001000e-01 3.051000e-01 3.101000e-01 2.424635e+00 1.102116e+00 2.260338e-01 1.949446e-01
3.101000e-01 3.151000e-01 3.201000e-01 2.279520e+00 1.064244e+00 2.096363e-01 1.811871e-01
3.201000e-01 3.251000e-01 3.301000e-01 2.293057e+00 1.085649e+00 2.045339e-01 1.764826e-01
3.301000e-01 3.351000e-01 3.401000e-01 2.347315e+00 1.091911e+00 2.027293e-01 1.677347e-01
3.401000e-01 3.451000e-01 3.501000e-01 2.400026e+00 1.097641e+00 1.985488e-01 1.609450e-01
3.501000e-01 3.551000e-01 3.601000e-01 2.474115e+00 1.096836e+00 1.969519e-01 1.574102e-01
3.601000e-01 3.651000e-01 3.701000e-01 2.553148e+00 1.124108e+00 1.975621e-01 1.547147e-01
3.701000e-01 3.751000e-01 3.801000e-01 2.628185e+00 1.146591e+00 1.946799e-01 1.545367e-01
3.801000e-01 3.851000e-01 3.901000e-01 2.691425e+00 1.197656e+00 1.928882e-01 1.494761e-01
3.901000e-01 3.951000e-01 4.001000e-01 2.729667e+00 1.262582e+00 1.961210e-01 1.476452e-01
4.001000e-01 4.051000e-01 4.101000e-01 2.799982e+00 1.330113e+00 1.988604e-01 1.452039e-01
4.101000e-01 4.151000e-01 4.201000e-01 2.965930e+00 1.457741e+00 2.118693e-01 1.462720e-01
4.201000e-01 4.251000e-01 4.301000e-01 2.950096e+00 1.620663e+00 2.353166e-01 1.528329e-01
4.301000e-01 4.351000e-01 4.401000e-01 2.731338e+00 1.766545e+00 2.667224e-01 1.665141e-01
4.401000e-01 4.451000e-01 4.501000e-01 2.485842e+00 1.906028e+00 2.952201e-01 1.776015e-01
4.501000e-01 4.551000e-01 4.601000e-01 2.273810e+00 2.023097e+00 3.232114e-01 1.835520e-01
4.601000e-01 4.651000e-01 4.701000e-01 2.170197e+00 2.146823e+00 3.527996e-01 1.832214e-01
4.701000e-01 4.751000e-01 4.801000e-01 2.070622e+00 2.289458e+00 3.737672e-01 1.748551e-01
4.801000e-01 4.851000e-01 4.901000e-01 1.965603e+00 2.380441e+00 3.988503e-01 1.715746e-01
4.901000e-01 4.951000e-01 5.001000e-01 1.854525e+00 2.488601e+00 4.255952e-01 1.733801e-01
5.001000e-01 5.051000e-01 5.101000e-01 1.738837e+00 2.595874e+00 4.530672e-01 1.773980e-01
5.101000e-01 5.151000e-01 5.201000e-01 1.753000e+00 2.722356e+00 4.710357e-01 1.796104e-01
5.201000e-01 5.251000e-01 5.301000e-01 1.710984e+00 2.909726e+00 4.933275e-01 1.686756e-01
5.301000e-01 5.351000e-01 5.401000e-01 1.500944e+00 3.113180e+00 5.568272e-01 1.658783e-01
5.401000e-01 5.451000e-01 5.501000e-01 1.273120e+00 3.229948e+00 6.394639e-01 1.708371e-01
5.501000e-01 5.551000e-01 5.601000e-01 1.064501e+00 3.334752e+00 7.500270e-01 1.779066e-01
5.601000e-01 5.651000e-01 5.701000e-01 8.915339e-01 3.403825e+00 8.852838e-01 1.886380e-01
5.701000e-01 5.751000e-01 5.801000e-01 7.299723e-01 3.335093e+00 1.051842e+00 1.982504e-01
5.801000e-01 5.851000e-01 5.901000e-01 5.848998e-01 3.112730e+00 1.252469e+00 2.097955e-01
5.901000e-01 5.951000e-01 6.001000e-01 4.686134e-01 2.809315e+00 1.470375e+00 2.303428e-01
6.001000e-01 6.051000e-01 6.101000e-01 3.790102e-01 2.475941e+00 1.666665e+00 2.452446e-01
6.101000e-01 6.151000e-01 6.201000e-01 3.186805e-01 2.166851e+00 1.874198e+00 2.696572e-01
6.201000e-01 6.251000e-01 6.301000e-01 2.729180e-01 1.917243e+00 2.043548e+00 2.870766e-01
6.301000e-01 6.351000e-01 6.401000e-01 2.364305e-01 1.714034e+00 2.199616e+00 3.109806e-01
6.401000e-01 6.451000e-01 6.501000e-01 1.994138e-01 1.518656e+00 2.327460e+00 3.200590e-01
6.501000e-01 6.551000e-01 6.601000e-01 1.669929e-01 1.348463e+00 2.431492e+00 3.321890e-01
6.601000e-01 6.651000e-01 6.701000e-01 1.419808e-01 1.198106e+00 2.550676e+00 3.524311e-01
6.701000e-01 6.751000e-01 6.801000e-01 1.250601e-01 1.063125e+00 2.671704e+00 3.817007e-01
6.801000e-01 6.851000e-01 6.901000e-01 1.035854e-01 9.212812e-01 2.805753e+00 4.216509e-01
6.901000e-01 6.951000e-01 7.001000e-01 8.830805e-02 7.785235e-01 2.958212e+00 4.861153e-01
7.001000e-01 7.051000e-01 7.101000e-01 7.825310e-02 6.528055e-01 3.074410e+00 5.954888e-01
7.101000e-01 7.151000e-01 7.201000e-01 7.420049e-02 5.496391e-01 3.054299e+00 6.970044e-01
7.201000e-01 7.251000e-01 7.301000e-01 6.730686e-02 4.601836e-01 2.979998e+00 7.986980e-01
7.301000e-01 7.351000e-01 7.401000e-01 5.985617e-02 4.014788e-01 2.894543e+00 8.766656e-01
7.401000e-01 7.451000e-01 7.501000e-01 5.268402e-02 3.465940e-01 2.806908e+00 9.420964e-01
7.501000e-01 7.551000e-01 7.601000e-01 4.495480e-02 3.056658e-01 2.706550e+00 1.021488e+00
7.601000e-01 7.651000e-01 7.701000e-01 4.017800e-02 2.687076e-01 2.585445e+00 1.107492e+00
7.701000e-01 7.751000e-01 7.801000e-01 3.473273e-02 2.335366e-01 2.470545e+00 1.184188e+00
7.801000e-01 7.851000e-01 7.901000e-01 3.143215e-02 2.095799e-01 2.350829e+00 1.276447e+00
7.901000e-01 7.951000e-01 8.001000e-01 3.125111e-02 1.921172e-01 2.245667e+00 1.354796e+00
8.001000e-01 8.051000e-01 8.101000e-01 2.712886e-02 1.747636e-01 2.145036e+00 1.430043e+00
8.101000e-01 8.151000e-01 8.201000e-01 2.416251e-02 1.617894e-01 2.026099e+00 1.492625e+00
8.201000e-01 8.251000e-01 8.301000e-01 2.423214e-02 1.524031e-01 1.927129e+00 1.545163e+00
8.301000e-01 8.351000e-01 8.401000e-01 2.193427e-02 1.404657e-01 1.819072e+00 1.600804e+00
8.401000e-01 8.451000e-01 8.501000e-01 2.093156e-02 1.318981e-01 1.722206e+00 1.665446e+00
8.501000e-01 8.551000e-01 8.601000e-01 2.112653e-02 1.288421e-01 1.636038e+00 1.707202e+00
8.601000e-01 8.651000e-01 8.701000e-01 2.178107e-02 1.249267e-01 1.544352e+00 1.727469e+00
8.701000e-01 8.751000e-01 8.801000e-01 2.257488e-02 1.246129e-01 1.451134e+00 1.795189e+00
8.801000e-01 8.851000e-01 8.901000e-01 2.217102e-02 1.207793e-01 1.348997e+00 1.818457e+00
8.901000e-01 8.951000e-01 9.001000e-01 2.069481e-02 1.149947e-01 1.246470e+00 1.867664e+00
9.001000e-01 9.051000e-01 9.101000e-01 1.909326e-02 1.048445e-01 1.142100e+00 1.917862e+00
9.101000e-01 9.151000e-01 9.201000e-01 1.575089e-02 9.348012e-02 1.030732e+00 1.946369e+00
9.201000e-01 9.251000e-01 9.301000e-01 1.272884e-02 8.192471e-02 9.122105e-01 1.982657e+00
9.301000e-01 9.351000e-01 9.401000e-01 1.194895e-02 7.229293e-02 8.078662e-01 1.991201e+00
9.401000e-01 9.451000e-01 9.501000e-01 1.030562e-02 6.669940e-02 7.148172e-01 1.991684e+00
9.501000e-01 9.551000e-01 9.601000e-01 1.157294e-02 6.709504e-02 6.628982e-01 1.966026e+00
9.601000e-01 9.651000e-01 9.701000e-01 1.217178e-02 6.787268e-02 6.211969e-01 1.951582e+00
9.701000e-01 9.751000e-01 9.801000e-01 1.300737e-02 6.953709e-02 5.887394e-01 1.908961e+00
9.801000e-01 9.851000e-01 9.901000e-01 1.407971e-02 7.114694e-02 5.749775e-01 1.874860e+00
9.901000e-01 9.951000e-01 1.000100e+00 1.700428e-02 7.660404e-02 5.595147e-01 1.832520e+00
1.000100e+00 1.005100e+00 1.010100e+00 1.875902e-02 8.159728e-02 5.319648e-01 1.776828e+00
1.010100e+00 1.015100e+00 1.020100e+00 2.217102e-02 8.373919e-02 4.908347e-01 1.712644e+00
1.020100e+00 1.025100e+00 1.030100e+00 2.336870e-02 8.324805e-02 4.320348e-01 1.662191e+00
1.030100e+00 1.035100e+00 1.040100e+00 2.388398e-02 7.843216e-02 3.729752e-01 1.595565e+00
1.040100e+00 1.045100e+00 1.050100e+00 2.488669e-02 7.614018e-02 3.270284e-01 1.512613e+00
1.050100e+00 1.055100e+00 1.060100e+00 2.813157e-02 7.585368e-02 2.920782e-01 1.422185e+00
1.060100e+00 1.065100e+00 1.070100e+00 3.152964e-02 8.088786e-02 2.680337e-01 1.332698e+00
1.070100e+00 1.075100e+00 1.080100e+00 3.293621e-02 8.178828e-02 2.469104e-01 1.266478e+00
1.080100e+00 1.085100e+00 1.090100e+00 3.473273e-02 8.056043e-02 2.283188e-01 1.197360e+00
1.090100e+00 1.095100e+00 1.100100e+00 3.917529e-02 8.103793e-02 2.070786e-01 1.137550e+00
1.100100e+00 1.105100e+00 1.110100e+00 3.978806e-02 7.950994e-02 1.877340e-01 1.082291e+00
1.110100e+00 1.115100e+00 1.120100e+00 4.105537e-02 7.764088e-02 1.731151e-01 1.011215e+00
1.120100e+00 1.125100e+00 1.130100e+00 4.300509e-02 7.732710e-02 1.576134e-01 9.781050e-01
1.130100e+00 1.135100e+00 1.140100e+00 4.421669e-02 7.854131e-02 1.467856e-01 9.202523e-01
1.140100e+00 1.145100e+00 1.150100e+00 4.904919e-02 7.934623e-02 1.356592e-01 8.686044e-01
1.150100e+00 1.155100e+00 1.160100e+00 5.197376e-02 7.813202e-02 1.299597e-01 8.316804e-01
1.160100e+00 1.165100e+00 1.170100e+00 5.670878e-02 7.964637e-02 1.236240e-01 7.965365e-01
1.170100e+00 1.175100e+00 1.180100e+00 5.542754e-02 7.769546e-02 1.160289e-01 7.821432e-01
1.180100e+00 1.185100e+00 1.190100e+00 4.927202e-02 7.038294e-02 1.152240e-01 7.624606e-01
1.190100e+00 1.195100e+00 1.200100e+00 3.450991e-02 5.911403e-02 1.117316e-01 7.682840e-01
1.200100e+00 1.205100e+00 1.210100e+00 2.374471e-02 4.309744e-02 1.008908e-01 7.856525e-01
1.210100e+00 1.215100e+00 1.220100e+00 1.590408e-02 3.196496e-02 8.836220e-02 7.607822e-01
1.220100e+00 1.225100e+00 1.230100e+00 1.116907e-02 2.320632e-02 7.565185e-02 7.151612e-01
1.230100e+00 1.235100e+00 1.240100e+00 1.041704e-02 2.173290e-02 6.916036e-02 6.746262e-01
1.240100e+00 1.245100e+00 1.250100e+00 9.428252e-03 2.053234e-02 6.655078e-02 6.355406e-01
1.250100e+00 1.255100e+00 1.260100e+00 9.748562e-03 1.938635e-02 6.403208e-02 5.967094e-01
1.260100e+00 1.265100e+00 1.270100e+00 8.926898e-03 1.971377e-02 5.777428e-02 5.628115e-01
1.270100e+00 1.275100e+00 1.280100e+00 8.341984e-03 1.839043e-02 5.663178e-02 5.280236e-01
1.280100e+00 1.285100e+00 1.290100e+00 7.562099e-03 1.631673e-02 5.054276e-02 4.893704e-01
1.290100e+00 1.295100e+00 1.300100e+00 6.364419e-03 1.462503e-02 4.559624e-02 4.436731e-01
1.300100e+00 1.305100e+00 1.310100e+00 6.071962e-03 1.226483e-02 4.103922e-02 4.046892e-01
1.310100e+00 1.315100e+00 1.320100e+00 5.709872e-03 1.332897e-02 3.750784e-02 3.747838e-01
1.320100e+00 1.325100e+00 1.330100e+00 6.155521e-03 1.218297e-02 3.566426e-02 3.588648e-01
1.330100e+00 1.335100e+00 1.340100e+00 6.058035e-03 1.268776e-02 3.406735e-02 3.425643e-01
1.340100e+00 1.345100e+00 1.350100e+00 6.559390e-03 1.281054e-02 3.314556e-02 3.264419e-01
1.350100e+00 1.355100e+00 1.360100e+00 6.726508e-03 1.281054e-02 3.479440e-02 3.181009e-01
1.360100e+00 1.365100e+00 1.370100e+00 7.325348e-03 1.367003e-02 3.436596e-02 3.026396e-01
1.370100e+00 1.375100e+00 1.380100e+00 7.770997e-03 1.380646e-02 3.527477e-02 3.006307e-01
1.380100e+00 1.385100e+00 1.390100e+00 7.534246e-03 1.282418e-02 3.318451e-02 2.862120e-01
1.390100e+00 1.395100e+00 1.400100e+00 7.102524e-03 1.380646e-02 3.202902e-02 2.747686e-01
1.400100e+00 1.405100e+00 1.410100e+00 7.227863e-03 1.473417e-02 3.193814e-02 2.667074e-01
1.410100e+00 1.415100e+00 1.420100e+00 7.979895e-03 1.577102e-02 3.252238e-02 2.541959e-01
1.420100e+00 1.425100e+00 1.430100e+00 8.300204e-03 1.463867e-02 3.230167e-02 2.527464e-01
1.430100e+00 1.435100e+00 1.440100e+00 9.052236e-03 1.432489e-02 3.191218e-02 2.437443e-01
1.440100e+00 1.445100e+00 1.450100e+00 8.912971e-03 1.488424e-02 3.196411e-02 2.369545e-01
1.450100e+00 1.455100e+00 1.460100e+00 9.637150e-03 1.496610e-02 3.076967e-02 2.254094e-01
1.460100e+00 1.465100e+00 1.470100e+00 9.483958e-03 1.537538e-02 3.114618e-02 2.168904e-01
1.470100e+00 1.475100e+00 1.480100e+00 9.386473e-03 1.626216e-02 3.101635e-02 2.088292e-01
1.480100e+00 1.485100e+00 1.490100e+00 1.011065e-02 1.657594e-02 3.108127e-02 2.069474e-01
1.490100e+00 1.495100e+00 1.500100e+00 1.077912e-02 1.642587e-02 3.113320e-02 1.998779e-01
1.500100e+00 1.505100e+00 1.510100e+00 1.143367e-02 1.683515e-02 3.079564e-02 1.909267e-01
1.510100e+00 1.515100e+00 1.520100e+00 1.143367e-02 1.829493e-02 3.075669e-02 1.868579e-01
1.520100e+00 1.525100e+00 1.530100e+00 1.144760e-02 1.616666e-02 2.988683e-02 1.768386e-01
1.530100e+00 1.535100e+00 1.540100e+00 1.100195e-02 1.669872e-02 2.926365e-02 1.738633e-01
1.540100e+00 1.545100e+00 1.550100e+00 1.168435e-02 1.656230e-02 2.771867e-02 1.667175e-01
1.550100e+00 1.555100e+00 1.560100e+00 1.087661e-02 1.549816e-02 2.686180e-02 1.566473e-01
1.560100e+00 1.565100e+00 1.570100e+00 1.102980e-02 1.731265e-02 2.671898e-02 1.485607e-01
1.570100e+00 1.575100e+00 1.580100e+00 1.118299e-02 1.716258e-02 2.571929e-02 1.462720e-01
1.580100e+00 1.585100e+00 1.590100e+00 1.185147e-02 1.620759e-02 2.642037e-02 1.394823e-01
1.590100e+00 1.595100e+00 1.600100e+00 1.151723e-02 1.603023e-02 2.474557e-02 1.378802e-01
1.600100e+00 1.605100e+00 1.610100e+00 1.185147e-02 1.575738e-02 2.490137e-02 1.299715e-01
1.610100e+00 1.615100e+00 1.620100e+00 1.169827e-02 1.627580e-02 2.429116e-02 1.241735e-01
1.620100e+00 1.625100e+00 1.630100e+00 1.183754e-02 1.605752e-02 2.353815e-02 1.204354e-01
1.630100e+00 1.635100e+00 1.640100e+00 1.133619e-02 1.598930e-02 2.247355e-02 1.152731e-01
1.640100e+00 1.645100e+00 1.650100e+00 1.247816e-02 1.581195e-02 2.144789e-02 1.106703e-01
1.650100e+00 1.655100e+00 1.660100e+00 1.225534e-02 1.627580e-02 2.268127e-02 1.067541e-01
1.660100e+00 1.665100e+00 1.670100e+00 1.179576e-02 1.672601e-02 2.127911e-02 1.054318e-01
1.670100e+00 1.675100e+00 1.680100e+00 1.320234e-02 1.620759e-02 2.124016e-02 1.025837e-01
1.680100e+00 1.685100e+00 1.690100e+00 1.270098e-02 1.642587e-02 2.116227e-02 9.625165e-02
1.690100e+00 1.695100e+00 1.700100e+00 1.224141e-02 1.534809e-02 2.062996e-02 9.495474e-02
1.700100e+00 1.705100e+00 1.710100e+00 1.316056e-02 1.627580e-02 2.030539e-02 8.936019e-02
1.710100e+00 1.715100e+00 1.720100e+00 1.187932e-02 1.511617e-02 1.995485e-02 8.696979e-02
1.720100e+00 1.725100e+00 1.730100e+00 1.171220e-02 1.518438e-02 1.912394e-02 7.939172e-02
1.730100e+00 1.735100e+00 1.740100e+00 1.193503e-02 1.474781e-02 1.816320e-02 7.898484e-02
1.740100e+00 1.745100e+00 1.750100e+00 1.144760e-02 1.427032e-02 1.807231e-02 7.761164e-02
1.750100e+00 1.755100e+00 1.760100e+00 1.118299e-02 1.463867e-02 1.755300e-02 7.272912e-02
1.760100e+00 1.765100e+00 1.770100e+00 1.094624e-02 1.394289e-02 1.757896e-02 7.056759e-02
1.770100e+00 1.775100e+00 1.780100e+00 9.957460e-03 1.380646e-02 1.574836e-02 6.728715e-02
1.780100e+00 1.785100e+00 1.790100e+00 1.040311e-02 1.267411e-02 1.593012e-02 6.507476e-02
1.790100e+00 1.795100e+00 1.800100e+00 1.090446e-02 1.270140e-02 1.582626e-02 6.296409e-02
1.800100e+00 1.805100e+00 1.810100e+00 1.030562e-02 1.231940e-02 1.611188e-02 6.131116e-02
1.810100e+00 1.815100e+00 1.820100e+00 9.804268e-03 1.311068e-02 1.485253e-02 5.912420e-02
1.820100e+00 1.825100e+00 1.830100e+00 9.344693e-03 1.263319e-02 1.416444e-02 5.673380e-02
1.830100e+00 1.835100e+00 1.840100e+00 1.072342e-02 1.338354e-02 1.493043e-02 5.571661e-02
1.840100e+00 1.845100e+00 1.850100e+00 9.957460e-03 1.206019e-02 1.417742e-02 5.365680e-02
1.850100e+00 1.855100e+00 1.860100e+00 1.012458e-02 1.206019e-02 1.420339e-02 4.948632e-02
1.860100e+00 1.865100e+00 1.870100e+00 1.024992e-02 1.233305e-02 1.387881e-02 5.037636e-02
1.870100e+00 1.875100e+00 1.880100e+00 1.001317e-02 1.203290e-02 1.303492e-02 4.775709e-02
1.880100e+00 1.885100e+00 1.890100e+00 9.804268e-03 1.181462e-02 1.304790e-02 4.862171e-02
1.890100e+00 1.895100e+00 1.900100e+00 9.971387e-03 1.215569e-02 1.285316e-02 4.595158e-02
1.900100e+00 1.905100e+00 1.910100e+00 9.804268e-03 1.113248e-02 1.282719e-02 4.442580e-02
1.910100e+00 1.915100e+00 1.920100e+00 9.275061e-03 1.165091e-02 1.190540e-02 4.183196e-02
1.920100e+00 1.925100e+00 1.930100e+00 9.316840e-03 1.181462e-02 1.172364e-02 4.045875e-02
1.930100e+00 1.935100e+00 1.940100e+00 9.734636e-03 1.103698e-02 1.165872e-02 3.857695e-02
1.940100e+00 1.945100e+00 1.950100e+00 9.609297e-03 1.188283e-02 1.190540e-02 3.758519e-02
1.950100e+00 1.955100e+00 1.960100e+00 9.107942e-03 1.095513e-02 1.163275e-02 3.600854e-02
1.960100e+00 1.965100e+00 1.970100e+00 8.829412e-03 1.106427e-02 1.073693e-02 3.603397e-02
1.970100e+00 1.975100e+00 1.980100e+00 9.275061e-03 1.126891e-02 1.086676e-02 3.565253e-02
1.980100e+00 1.985100e+00 1.990100e+00 9.748562e-03 1.121434e-02 1.021761e-02 3.387244e-02
1.990100e+00 1.995100e+00 2.000100e+00 9.665003e-03 1.069592e-02 1.095764e-02 3.336385e-02
2.000100e+00 2.005100e+00 2.010100e+00 9.553591e-03 1.084599e-02 1.049025e-02 3.140576e-02
2.010100e+00 2.015100e+00 2.020100e+00 9.177575e-03 1.057313e-02 1.041235e-02 3.033771e-02
2.020100e+00 2.025100e+00 2.030100e+00 9.094016e-03 1.081870e-02 9.555477e-03 2.914251e-02
2.030100e+00 2.035100e+00 2.040100e+00 9.372546e-03 1.024570e-02 9.321783e-03 2.993083e-02
2.040100e+00 2.045100e+00 2.050100e+00 9.372546e-03 1.050492e-02 9.269851e-03 2.980368e-02
2.050100e+00 2.055100e+00 2.060100e+00 9.873901e-03 1.046399e-02 9.321783e-03 2.848133e-02
2.060100e+00 2.065100e+00 2.070100e+00 9.943534e-03 9.331640e-03 9.153004e-03 2.949853e-02
2.070100e+00 2.075100e+00 2.080100e+00 9.692856e-03 9.877350e-03 9.581443e-03 2.700641e-02
2.080100e+00 2.085100e+00 2.090100e+00 9.943534e-03 1.010928e-02 9.062123e-03 2.545519e-02
2.090100e+00 2.095100e+00 2.100100e+00 9.233281e-03 9.877350e-03 8.555787e-03 2.611637e-02
2.100100e+00 2.105100e+00 2.110100e+00 9.567518e-03 1.021842e-02 8.335076e-03 2.568406e-02
2.110100e+00 2.115100e+00 2.120100e+00 9.525738e-03 9.890993e-03 8.335076e-03 2.509918e-02
2.120100e+00 2.125100e+00 2.130100e+00 9.247208e-03 9.590853e-03 8.231212e-03 2.342081e-02
2.130100e+00 2.135100e+00 2.140100e+00 9.483958e-03 1.019113e-02 8.646668e-03 2.342081e-02
2.140100e+00 2.145100e+00 2.150100e+00 9.107942e-03 9.113356e-03 7.958570e-03 2.268335e-02
2.150100e+00 2.155100e+00 2.160100e+00 8.662294e-03 9.618138e-03 8.049451e-03 2.199674e-02
2.160100e+00 2.165100e+00 2.170100e+00 8.871192e-03 9.277069e-03 7.711893e-03 2.207303e-02
2.170100e+00 2.175100e+00 2.180100e+00 8.592661e-03 9.481711e-03 8.659651e-03 2.125928e-02
2.180100e+00 2.185100e+00 2.190100e+00 8.926898e-03 9.263427e-03 7.452233e-03 2.128471e-02
2.190100e+00 2.195100e+00 2.200100e+00 8.550882e-03 9.031500e-03 7.426267e-03 2.120842e-02
2.200100e+00 2.205100e+00 2.210100e+00 8.676220e-03 9.577210e-03 7.426267e-03 2.085241e-02
2.210100e+00 2.215100e+00 2.220100e+00 8.035601e-03 9.045143e-03 7.062744e-03 1.866545e-02
2.220100e+00 2.225100e+00 2.230100e+00 8.982604e-03 8.976929e-03 7.685927e-03 1.813142e-02
2.230100e+00 2.235100e+00 2.240100e+00 8.676220e-03 8.049222e-03 6.919931e-03 1.848744e-02
2.240100e+00 2.245100e+00 2.250100e+00 8.272351e-03 7.912794e-03 7.179591e-03 1.668192e-02
2.250100e+00 2.255100e+00 2.260100e+00 7.729217e-03 8.103793e-03 6.387629e-03 1.848744e-02
2.260100e+00 2.265100e+00 2.270100e+00 8.300204e-03 7.735439e-03 7.036778e-03 1.724138e-02
2.270100e+00 2.275100e+00 2.280100e+00 8.188792e-03 8.472147e-03 6.660271e-03 1.680907e-02
2.280100e+00 2.285100e+00 2.290100e+00 8.091307e-03 8.567646e-03 6.296748e-03 1.635134e-02
2.290100e+00 2.295100e+00 2.300100e+00 7.603879e-03 7.571726e-03 6.270782e-03 1.607161e-02
2.300100e+00 2.305100e+00 2.310100e+00 7.743144e-03 7.448941e-03 5.647598e-03 1.596989e-02
2.310100e+00 2.315100e+00 2.320100e+00 7.882409e-03 7.953723e-03 5.946207e-03 1.614790e-02
2.320100e+00 2.325100e+00 2.330100e+00 7.993821e-03 7.830938e-03 5.959190e-03 1.464754e-02
2.330100e+00 2.335100e+00 2.340100e+00 7.687438e-03 7.953723e-03 5.699530e-03 1.457125e-02
2.340100e+00 2.345100e+00 2.350100e+00 7.200010e-03 7.421655e-03 5.842343e-03 1.446954e-02
2.350100e+00 2.355100e+00 2.360100e+00 7.172157e-03 7.107872e-03 5.400922e-03 1.352863e-02
2.360100e+00 2.365100e+00 2.370100e+00 7.840629e-03 7.517155e-03 5.751462e-03 1.457125e-02
2.370100e+00 2.375100e+00 2.380100e+00 7.116450e-03 7.094230e-03 5.920241e-03 1.322348e-02
2.380100e+00 2.385100e+00 2.390100e+00 6.461904e-03 7.080587e-03 4.972483e-03 1.253687e-02
2.390100e+00 2.395100e+00 2.400100e+00 6.921479e-03 7.148801e-03 5.128279e-03 1.312176e-02
2.400100e+00 2.405100e+00 2.410100e+00 6.921479e-03 6.794089e-03 5.374956e-03 1.238429e-02
2.410100e+00 2.415100e+00 2.420100e+00 6.949332e-03 6.180165e-03 5.439871e-03 1.271488e-02
2.420100e+00 2.425100e+00 2.430100e+00 6.517610e-03 6.616733e-03 4.751772e-03 1.182484e-02
2.430100e+00 2.435100e+00 2.440100e+00 6.447978e-03 6.493949e-03 5.128279e-03 1.169769e-02
2.440100e+00 2.445100e+00 2.450100e+00 6.823994e-03 6.889588e-03 4.608960e-03 1.146882e-02
2.450100e+00 2.455100e+00 2.460100e+00 6.169447e-03 6.152880e-03 5.115296e-03 1.129081e-02
2.460100e+00 2.465100e+00 2.470100e+00 5.974476e-03 6.111952e-03 4.297368e-03 1.037534e-02
2.470100e+00 2.475100e+00 2.480100e+00 6.155521e-03 6.453020e-03 4.647909e-03 1.085851e-02
