# BIN1 BIN2 ANGBIN VALUE
4 1 8 6.17881954e-05
4 1 9 1.00476179e-05
4 1 10 7.30405983e-06
4 1 11 3.66795334e-05
4 1 12 4.28310467e-05
4 1 13 7.14741525e-06
4 1 14 -1.12515776e-07
4 1 15 1.11347580e-05
4 1 16 -2.89433897e-06
4 1 17 -6.53152170e-06
4 1 18 1.15825333e-05
4 1 19 4.99031126e-06
4 1 20 -3.83079685e-06
4 2 1 2.79146988e-04
4 2 2 1.45576111e-04
4 2 3 -2.35406774e-04
4 2 4 2.22419228e-05
4 2 5 7.86544329e-05
4 2 6 3.78877684e-05
4 2 7 2.66780862e-05
4 2 8 6.38446701e-05
4 2 9 4.09048643e-06
4 2 10 -5.65200985e-06
4 2 11 3.24862616e-05
4 2 12 4.69769716e-05
4 2 13 1.20530356e-05
4 2 14 -2.54266328e-06
4 2 15 -8.08644858e-07
4 2 16 7.24817456e-06
4 2 17 3.58343389e-05
4 2 18 6.44559147e-06
4 2 19 8.93810244e-06
4 2 20 1.14860659e-05
4 3 1 3.63025723e-04
4 3 2 5.00645971e-04
4 3 3 2.42457723e-04
4 3 4 1.65053588e-04
4 3 5 7.94147025e-05
4 3 6 8.06181359e-05
4 3 7 6.54883196e-05
4 3 8 1.21327220e-04
4 3 9 1.06232712e-04
4 3 10 8.16947536e-05
4 3 11 5.79982094e-05
4 3 12 4.64883344e-05
4 3 13 3.74641728e-05
4 3 14 2.27850862e-05
4 3 15 2.13367364e-05
4 3 16 4.80985565e-05
4 3 17 4.72720821e-05
4 3 18 3.17094950e-05
4 3 19 3.10255263e-05
4 3 20 1.73433965e-05
4 4 1 1.36266254e-03
4 4 2 1.27987542e-03
4 4 3 8.05359961e-04
4 4 4 5.86242234e-04
4 4 5 2.41062416e-04
4 4 6 2.91697225e-04
4 4 7 2.52315877e-04
4 4 8 3.35604011e-04
4 4 9 2.52381020e-04
4 4 10 2.38482927e-04
4 4 11 1.86014156e-04
4 4 12 1.43455257e-04
4 4 13 9.99294601e-05
4 4 14 1.22048577e-04
4 4 15 8.67165630e-05
4 4 16 1.05288034e-04
4 4 17 7.32100407e-05
4 4 18 5.81700877e-05
4 4 19 5.88186758e-05
4 4 20 3.15402076e-05
5 1 1 2.12819660e-04
5 1 2 -4.42652145e-04
5 1 3 -1.67651315e-04
5 1 4 -1.10535435e-04
5 1 5 -2.60034083e-05
5 1 6 -9.25566005e-06
5 1 7 -1.65441609e-04
5 1 8 -3.30032249e-05
5 1 9 -1.57703515e-05
5 1 10 -5.11820281e-05
5 1 11 7.25563679e-05
5 1 12 2.91571459e-05
5 1 13 4.54863714e-05
5 1 14 3.10466185e-06
5 1 15 1.44749261e-05
5 1 16 1.24136388e-05
5 1 17 1.65817041e-05
5 1 18 1.39347941e-05
5 1 19 8.64010115e-06
5 1 20 -8.50680296e-07
5 2 1 -2.21611253e-04
5 2 2 -2.64914164e-04
5 2 3 -2.35499488e-04
5 2 4 -1.01933356e-04
5 2 5 -6.07912342e-05
5 2 6 1.91167790e-05
5 2 7 -5.16509485e-05
5 2 8 6.65739942e-06
5 2 9 9.16097903e-06
5 2 10 -1.36924152e-05
5 2 11 -2.39820144e-05
5 2 12 6.61759683e-05
5 2 13 1.57189356e-06
5 2 14 -3.80561853e-05
5 2 15 -2.19455473e-05
5 2 16 2.11065449e-06
5 2 17 -3.38036572e-06
5 2 18 -4.77053802e-06
5 2 19 -1.11222165e-06
5 2 20 -2.83860211e-06
5 3 1 2.52411220e-04
5 3 2 6.35090700e-05
5 3 3 9.67353123e-05
5 3 4 -2.09249034e-04
5 3 5 -1.89872238e-04
5 3 6 1.14837550e-04
5 3 7 -2.94335160e-05
5 3 8 6.61831418e-05
5 3 9 5.01589307e-05
5 3 10 -1.32093053e-05
5 3 11 6.73005864e-05
5 3 12 6.63368688e-05
5 3 13 1.55586190e-05
5 3 14 -5.81904579e-07
5 3 15 4.82263169e-07
5 3 16 2.60671677e-05
5 3 17 8.66790877e-07
5 3 18 -1.37510798e-07
5 3 19 1.16659118e-05
5 3 20 1.06136247e-05
5 4 1 1.14372951e-05
5 4 2 5.98499308e-04
5 4 3 1.09039372e-03
5 4 4 5.13846679e-04
5 4 5 5.04469901e-04
5 4 6 2.34711109e-04
5 4 7 1.53245458e-04
5 4 8 1.28682218e-04
5 4 9 1.01272741e-04
5 4 10 2.14101353e-05
5 4 11 1.10438908e-04
5 4 12 4.87399882e-05
5 4 13 9.71585984e-05
5 4 14 6.42793687e-05
5 4 15 6.00059735e-05
5 4 16 3.11217710e-05
5 4 17 2.57139514e-05
5 4 18 -1.31991635e-06
5 4 19 1.81542822e-05
5 4 20 -3.36995192e-06
