# BIN1 BIN2 ANGBIN VALUE
2 2 2 1.96792711e-05
2 2 3 3.31149526e-06
2 2 4 6.12170964e-06
2 2 5 8.12497485e-06
2 2 6 3.18100396e-06
2 2 7 1.76661016e-05
2 2 8 7.16098207e-06
2 2 9 6.71434415e-06
2 2 10 2.73034112e-06
2 2 11 2.58437309e-06
2 2 12 4.43636664e-06
2 2 13 1.48000193e-06
2 2 14 1.39584478e-06
2 2 15 2.24189887e-06
2 2 16 1.88815697e-06
2 2 17 6.03042696e-07
2 2 18 3.30315539e-07
2 2 19 -1.50814174e-07
2 2 20 3.68579816e-07
2 3 1 4.61754416e-05
2 3 2 3.29570569e-05
2 3 3 1.33369506e-05
2 3 4 1.34127371e-05
2 3 5 8.28891356e-06
2 3 6 8.83432774e-06
2 3 7 7.52422685e-06
2 3 8 4.78656592e-06
2 3 9 6.11915403e-06
2 3 10 3.77765853e-06
2 3 11 5.40922927e-06
2 3 12 4.04663812e-06
2 3 13 2.61128671e-06
2 3 14 2.28953315e-06
2 3 15 2.14814833e-06
2 3 16 1.40829762e-06
2 3 17 9.05440218e-07
2 3 18 9.66810407e-07
2 3 19 3.65229135e-07
2 3 20 6.40824592e-09
2 4 1 3.32874720e-05
2 4 2 1.20077255e-05
2 4 3 2.48804387e-05
2 4 4 2.74233241e-05
2 4 5 1.37476489e-05
2 4 6 1.49097267e-05
2 4 7 9.01159770e-06
2 4 8 7.91621577e-06
2 4 9 6.39551960e-06
2 4 10 6.94344138e-06
2 4 11 1.69607514e-06
2 4 12 5.60048463e-06
2 4 13 2.75813742e-06
2 4 14 3.18830191e-06
2 4 15 1.45171262e-06
2 4 16 1.67839046e-06
2 4 17 9.05451632e-07
2 4 18 1.16908802e-06
2 4 19 1.43514574e-07
2 4 20 3.47956497e-07
3 3 1 6.35842027e-05
3 3 2 3.34041437e-05
3 3 3 4.10726833e-05
3 3 4 2.71232103e-05
3 3 5 2.48029697e-05
3 3 6 2.17790006e-05
3 3 7 1.28869998e-05
3 3 8 1.58322160e-05
3 3 9 6.69944069e-06
3 3 10 9.61159126e-06
3 3 11 6.42031807e-06
3 3 12 5.88328289e-06
3 3 13 5.89019052e-06
3 3 14 3.91560971e-06
3 3 15 3.71838056e-06
3 3 16 1.94932559e-06
3 3 17 1.38013427e-06
3 3 18 9.29540003e-07
3 3 19 3.12992277e-07
3 3 20 -3.88917045e-07
3 4 1 6.07935702e-05
3 4 2 4.46535289e-05
3 4 3 3.99961789e-05
3 4 4 2.87759442e-05
3 4 5 2.55011332e-05
3 4 6 2.63258315e-05
3 4 7 1.87989000e-05
3 4 8 1.36363080e-05
3 4 9 1.32512310e-05
3 4 10 1.24364663e-05
3 4 11 8.58942618e-06
3 4 12 7.91344407e-06
3 4 13 5.38912536e-06
3 4 14 4.44049112e-06
3 4 15 3.40362248e-06
3 4 16 2.20229777e-06
3 4 17 1.45326724e-06
3 4 18 1.91944300e-06
3 4 19 5.17345456e-08
3 4 20 3.90410128e-07
4 4 1 7.06273160e-05
4 4 2 6.09496662e-05
4 4 3 5.65167512e-05
4 4 4 2.89395772e-05
4 4 5 4.07057736e-05
4 4 6 2.74482814e-05
4 4 7 2.48472921e-05
4 4 8 1.75849904e-05
4 4 9 9.45818964e-06
4 4 10 1.89701678e-05
4 4 11 1.83176595e-05
4 4 12 9.91175993e-06
4 4 13 4.86031529e-06
4 4 14 6.36448013e-06
4 4 15 3.52712675e-06
4 4 16 2.53983896e-06
4 4 17 2.09407048e-06
4 4 18 9.75671677e-07
4 4 19 -1.83579412e-07
4 4 20 1.68002161e-06
